;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
0;koV2m5DcT-k;812672;30934;0;1870;0.1195079086115993;0.030755711775043937;0.835676625659051;0.0358886643233743
1;QGHUHEh5QA8;1128534;46521;0;2828;0.09051014810751508;0.036752605595172794;0.8491497531541415;0.02441673066374106
2;79h1WbD4SUM;498746;18530;0;596;0.009071274298056155;0.006911447084233261;0.9766738660907127;0.000903455723542117
3;1voq6P21qps;513972;26867;0;1261;0.09060626249167222;0.04530313124583611;0.8474350433044637;0.020969820119920064
4;mm0sZQvFH2g;480917;20076;0;536;0.10521415270018622;0.019553072625698324;0.8649906890130353;0.033464245810055866
5;yZmrK1nqHzc;627735;37576;0;1293;0.13848920863309352;0.03776978417266187;0.8075539568345323;0.03993956834532372
6;FmcSw_hvbjI;552017;29972;0;450;0.10583153347732181;0.04535637149028078;0.838012958963283;0.025949028077753785
7;qBGBC3VPt9I;1450413;40000;0;3043;0.015390534821085032;0.0026933435936898806;0.9696036937283571;0.004112812620238553
8;Cx80XRxyxCI;806589;36616;0;2771;0.11790949649458253;0.022944550669216062;0.840025493945188;0.03884282982791581
9;Xt_caZPCXL8;702362;28340;0;2287;0.013934726806013934;0.003667033370003667;0.9677301063439677;0.0040035203520352005
10;0OZ_A8R8tmU;607162;28254;0;1460;0.09424603174603174;0.031746031746031744;0.8531746031746031;0.027063492063492074
11;aL6K_lO9VgE;444610;15375;0;595;0.10171149144254278;0.040097799511002445;0.8288508557457213;0.024842493887530525
12;hbNkjgewmnQ;695212;30414;0;1237;0.10776053215077605;0.04656319290465632;0.8235033259423503;0.026514545454545364
13;Wk1TbB1bc0I;538334;22145;0;1946;0.152332361516035;0.021865889212827987;0.8039358600583091;0.05257922740524769
14;A_MewdDkVKo;643377;26777;0;2048;0.12724935732647816;0.028277634961439587;0.8341902313624678;0.039028277634961465
15;-UoRa1qpl9c;502138;15699;0;1335;0.0968421052631579;0.051929824561403506;0.8273684210526315;0.019485473684210535
16;fg0Bb-qwmL0;542246;37613;0;6458;0.008;0.005894736842105263;0.9793684210526316;0.000723663157894737
17;Si-IZIgi6Zw;638674;34085;0;1400;0.11626816690107829;0.02625410220346929;0.8391936240037506;0.03472212845757141
18;lDANXi4eMgo;594395;21765;0;692;0.008083689966714217;0.0033285782215882074;0.9824060865430337;0.0009635282929148835
19;9G2uraTEfk4;768735;35365;0;2593;0.08249672632038411;0.01789611523352248;0.8489742470536883;0.0280289393278044
20;WtaTr8XOyAY;647799;33005;0;1750;0.10734463276836158;0.02071563088512241;0.8267419962335216;0.032815065913371
21;Fo792SD32U0;473561;21311;0;597;0.08629130966952264;0.037943696450428395;0.8580171358629131;0.019975030599755215
22;mOw5x-7xth8;591134;30096;0;1340;0.10307898259705489;0.04618473895582329;0.8253012048192772;0.0227173360107095
23;tMCTN6j-S5I;589598;21156;0;981;0.11175166297117517;0.028381374722838137;0.8412416851441241;0.03231303769401322
