;index;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
0;0;FKeKPXALHuc;689404;24023;0;3235;0.024;0.013;0.963;0.9747
1;1;fwjrIdA-jyA;665594;22084;0;1442;0.225;0.071;0.704;0.9998
2;2;ptycSvOmw6o;534809;18038;0;1227;0.033;0.01;0.957;0.9975
3;3;ham2mGl5QkU;514453;18411;0;788;0.201;0.072;0.727;0.9995
4;4;CJPGm0HDjO0;553387;30569;0;1950;0.227;0.093;0.68;0.9997
5;5;YSPiQB1jM4k;667120;27215;0;1078;0.182;0.046;0.771;0.9984
6;6;TUgknDAjPdM;671297;17342;0;764;0.172;0.084;0.744;0.9993
7;7;na2YMSza1mU;531628;19996;0;2197;0.198;0.061;0.741;0.9987
8;8;b92hmjoys5M;490017;22560;0;1018;0.194;0.094;0.711;0.9998
9;9;mB0y5_knUBc;686014;19357;0;1356;0.23;0.039;0.731;0.9999
10;10;iUrS5O8PjJA;878576;23678;0;1392;0.182;0.061;0.757;0.9994
11;11;5SdTBG3HsL4;496917;20405;0;877;0.202;0.062;0.736;0.9995
12;12;yYrYchGElek;953899;24353;0;2598;0.199;0.061;0.74;0.9986
13;13;DlTMbuzeiew;961139;18954;0;1250;0.238;0.059;0.703;0.9808
14;14;ybgvfdtOrQo;635302;38898;0;1859;0.021;0.001;0.979;0.9934
15;15;Zosh5JxmO7k;737655;32852;0;1256;0.239;0.079;0.682;0.9989
16;16;v7q3wY11_8Y;720398;18403;0;2515;0.233;0.055;0.712;0.9995
17;17;iwkPXjte7jQ;403611;12620;0;625;0.235;0.07;0.695;0.9987
18;18;4Cu26vGQn9E;743460;23859;0;1476;0.18;0.084;0.736;0.9997
19;19;xKiOa9krxgI;813191;32472;0;1696;0.266;0.071;0.663;0.9998
20;20;VGIn9TOyS9I;533813;21759;0;934;0.242;0.049;0.709;0.9997
21;21;VvAl6_dfAC8;616092;19967;0;1064;0.208;0.051;0.741;0.9998
22;22;v7tfWAUG4XU;563776;24625;0;1544;0.202;0.051;0.746;0.9976
23;23;co0lRVOSmzM;609102;18408;0;640;0.18;0.066;0.754;0.9957
24;24;H8P33IZNSVE;596987;24796;0;1395;0.335;0.072;0.593;1.0
25;25;0ByxNrtQNow;635075;23805;0;1193;0.224;0.069;0.706;0.9997
26;26;5jJl0YzI1QA;407039;17934;0;623;0.024;0.004;0.972;0.9931
27;27;XeNeeYbT8DQ;731971;19277;0;1164;0.23;0.078;0.692;0.9995
28;28;_csBkS_ZFIU;750146;16337;0;1142;0.157;0.086;0.757;0.9698
29;29;hgaotensSrI;121167;2114;0;128;0.184;0.044;0.772;0.9956
30;30;koV2m5DcT-k;813536;30947;0;1863;0.265;0.061;0.674;0.9998
31;31;J3Rd36QM0y0;566225;15184;0;1378;0.018;0.005;0.977;0.9825
32;32;bQFHc4h0E7Y;539994;22297;0;718;0.211;0.071;0.718;0.9994
33;33;WlK7o7l35Ag;657606;28545;0;1061;0.166;0.073;0.761;0.9992
34;34;D38YGm0E2zM;567720;29669;0;1085;0.269;0.076;0.655;0.9999
35;35;i848DYgfmcE;646942;30428;0;1336;0.263;0.076;0.66;0.999
36;36;1voq6P21qps;521037;27122;0;1252;0.196;0.097;0.707;0.9995
37;37;PBDjZPpT6j8;666516;20131;0;1331;0.205;0.054;0.74;0.9999
38;38;tTm9pSc-BW8;449335;14818;0;728;0.217;0.036;0.746;0.9956
39;39;hbNkjgewmnQ;698394;30489;0;1239;0.292;0.109;0.599;1.0
40;40;2CY-S1Z_I38;862553;32726;0;1711;0.034;0.005;0.961;0.9962
41;41;NX9ZJhsema0;709015;25895;0;872;0.03;0.007;0.963;0.9929
42;42;-Xcu9TKpLtg;628516;20743;0;916;0.225;0.072;0.703;0.9999
43;43;4CgnHGRUOMc;1558003;45875;0;2489;0.304;0.059;0.636;0.9992
44;44;yTtNmxsk6oc;735044;17096;0;757;0.24;0.043;0.717;0.9999
45;45;g5jwvaXu6rk;879624;27968;0;1955;0.206;0.084;0.709;0.9994
46;46;Fo792SD32U0;475560;21360;0;593;0.219;0.099;0.682;0.9997
47;47;7D0KNuoXaPM;604894;16947;0;817;0.174;0.125;0.701;0.9915
48;48;OY3OYwB10KY;543546;15929;0;2284;0.242;0.082;0.676;0.9998
49;49;ck0jenODs8c;548445;22961;0;696;0.218;0.065;0.717;0.9998
50;50;ilqdVA56XKM;634152;29714;0;1209;0.226;0.082;0.692;0.9996
51;51;IFeAn0w57EM;729883;38442;0;3485;0.244;0.047;0.709;0.9994
52;52;kd_1_4R4Nvk;431382;13650;0;1051;0.192;0.078;0.731;0.9989
53;53;5sXe75GwY8o;1129517;42894;0;2104;0.02;0.005;0.974;0.9902
54;54;9LwhxEulBGU;608748;25302;0;1388;0.221;0.063;0.716;0.9996
55;55;RbAwJCCi-Mg;1515521;18954;0;973;0.24;0.073;0.687;0.9996
56;56;73ariBoV27E;823002;24792;0;2219;0.184;0.082;0.734;0.9994
57;57;xJhiNrOiPkk;518103;14408;0;954;0.145;0.075;0.781;0.9969
58;58;IQ-gGY1Ur7M;752025;35211;0;1966;0.176;0.069;0.755;0.9993
59;59;HBZ8QHoSbIs;478071;21449;0;1563;0.256;0.073;0.671;0.9999
60;60;R4MY98KLJsI;685683;27790;0;1290;0.23;0.073;0.697;0.9998
61;61;XNNFnfq3jAU;1291008;31554;0;980;0.166;0.11;0.725;0.9957
62;62;r7HNJ5O2wdQ;810193;31036;0;2649;0.255;0.088;0.657;0.9998
63;63;9G2uraTEfk4;770615;35396;0;2587;0.175;0.038;0.787;0.9998
64;64;iSbkZt5bLXU;522718;16521;0;736;0.222;0.086;0.692;0.9977
65;65;lYebizIuhlU;738737;27097;0;2518;0.198;0.082;0.72;0.9998
66;66;wsv56RDRLCA;666575;46058;0;2691;0.181;0.063;0.756;0.989
67;67;ALfRC5YG0k4;560858;27068;0;4274;0.217;0.091;0.692;0.9985
68;68;wt5HvtReLew;609225;18053;0;1114;0.218;0.064;0.718;0.9998
69;69;nGXNxnc5bVI;567679;20430;0;1907;0.208;0.078;0.713;0.9997
70;70;vZzTrA2aElw;682077;22988;0;1142;0.237;0.082;0.681;0.9999
71;71;_RKu4furQgY;509221;20538;0;666;0.187;0.076;0.737;0.9997
72;72;WDFXK5gBVC0;426194;15983;0;821;0.169;0.079;0.752;0.9885
73;73;qjTxkdhKTtg;532280;15774;0;869;0.266;0.121;0.613;0.9994
74;74;2mJdOu9PxBI;527986;14881;0;1037;0.175;0.086;0.739;0.9989
75;75;rKp7Ygs6hfY;806893;31198;0;2148;0.224;0.051;0.725;0.9998
76;76;dgPv2tWaBnQ;836545;31289;0;5138;0.25;0.064;0.686;0.999
77;77;I6voV31MoBk;527598;22621;0;1175;0.238;0.091;0.672;0.9998
78;78;n44Ie62qoWM;572252;19797;0;839;0.249;0.037;0.714;0.9999
79;79;5gV6f0iYBpw;631734;22739;0;1715;0.189;0.078;0.733;0.9989
80;80;d_ekJXGYaI8;755349;44652;0;2522;0.225;0.041;0.734;0.9997
81;81;Y0HP30W5Jxw;649899;18024;0;939;0.207;0.073;0.719;0.9991
82;82;2Svn9eLQKss;625515;21053;0;1459;0.196;0.068;0.736;0.9998
83;83;i4qcC0LFfTs;580113;23228;0;1363;0.032;0.008;0.96;0.997
84;84;BPC_F5gYLAA;756895;21602;0;1668;0.24;0.08;0.681;0.9998
85;85;p0qdFz9-n9E;275784;13599;0;1396;0.249;0.07;0.681;0.9995
86;86;eKfu99bhGzk;451474;15724;0;880;0.018;0.008;0.973;0.9803
87;87;gqF8c8Rn_nk;542369;25043;0;1937;0.248;0.087;0.665;0.9999
88;88;wqkcLN1o8oA;693676;20463;0;1509;0.223;0.035;0.742;0.9997
89;89;yGGOVwf-FrQ;615623;22150;0;4531;0.235;0.062;0.703;0.9999
90;90;R8U-KA48eP4;732448;33370;0;2526;0.281;0.078;0.641;0.9999
91;91;IfzFAxoYnZs;656585;16957;0;1353;0.25;0.084;0.666;0.9994
92;92;ofRA993ERE4;1114579;34804;0;1527;0.196;0.065;0.739;0.9997
93;93;aL6K_lO9VgE;446185;15402;0;585;0.231;0.083;0.686;0.9999
94;94;mOw5x-7xth8;595221;30195;0;1339;0.198;0.094;0.708;0.9992
95;95;EeOnfVJSDr8;368919;9858;0;543;0.183;0.082;0.736;0.9962
96;96;2xgw6Bz39pg;875248;25379;0;1048;0.216;0.055;0.729;0.9994
97;97;c10eK84R0as;1385646;48545;0;1864;0.244;0.068;0.687;0.9999
98;98;2DlNYID6vHk;368194;8592;0;408;0.221;0.053;0.726;0.9906
99;99;8W0dWOF6hg0;981662;41602;0;4341;0.255;0.047;0.698;0.9995
100;100;m-GGi8Gbfjo;664544;33141;0;3229;0.22;0.047;0.733;0.9998
101;101;75XygYTxNCE;567464;19007;0;2750;0.225;0.056;0.719;0.9995
102;102;Dp1z_fNeKEs;629396;22704;0;866;0.029;0.005;0.965;0.9965
103;103;tY7qrj32ri0;774209;20895;0;1380;0.246;0.051;0.703;0.9976
104;104;qBGBC3VPt9I;1457554;40111;0;3040;0.038;0.008;0.954;0.9965
105;105;Si4jbISiUVw;588715;24307;0;930;0.266;0.089;0.645;0.9999
106;106;Cx80XRxyxCI;894727;37998;0;2829;0.266;0.05;0.684;0.9999
