;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
0;FKeKPXALHuc;689404;24023;0;3235;0.009461426491994178;0.005094614264919942;0.977802037845706;0.001406804949053857
1;fwjrIdA-jyA;665594;22084;0;1442;0.10013262599469495;0.034482758620689655;0.8461538461538461;0.027786405835543742
2;ptycSvOmw6o;534809;18038;0;1227;0.013565395444074738;0.0033273611466598414;0.9779882262605579;0.0032707192219093915
3;CyH8Ze_Y-Jc;2137366;54999;0;2568;0.09498207885304659;0.03763440860215054;0.8482676224611708;0.02374127837514933
4;ham2mGl5QkU;514453;18411;0;788;0.08869814020028613;0.032188841201716736;0.8497854077253219;0.020729756795422032
5;CJPGm0HDjO0;553387;30569;0;1950;0.10261080752884032;0.042501517911353974;0.8342440801457195;0.0219942319368549
6;YSPiQB1jM4k;667120;27215;0;1078;0.07963246554364471;0.019908116385911178;0.8805513016845329;0.02349019908116386
7;TUgknDAjPdM;671297;17342;0;764;0.07588985896574882;0.03760913364674278;0.8569509738079247;0.014646004029550047
8;na2YMSza1mU;531628;19996;0;2197;0.09184993531694696;0.029754204398447608;0.8641655886157826;0.02507891332470893
9;b92hmjoys5M;490017;22560;0;1018;0.08897742363877822;0.046923417441345726;0.8472775564409031;0.017118548030101804
10;mB0y5_knUBc;686014;19357;0;1356;0.09585933068633012;0.019852524106636415;0.8627339761769711;0.031906920022688544
11;iUrS5O8PjJA;878576;23678;0;1392;0.08009153318077804;0.02745995423340961;0.8695652173913043;0.02117009916094586
12;5SdTBG3HsL4;496917;20405;0;877;0.09112903225806451;0.025806451612903226;0.8661290322580645;0.02475483870967742
13;yYrYchGElek;953899;24353;0;2598;0.08416547788873038;0.028530670470756064;0.8601997146932953;0.023172753209700428
14;DlTMbuzeiew;961139;18954;0;1250;0.10743801652892562;0.01652892561983471;0.8760330578512396;0.03446198347107438
15;ybgvfdtOrQo;635302;38898;0;1859;0.00798782807151008;0.0003803727653100038;0.9882084442753899;0.0028913655382274634
16;Zosh5JxmO7k;737655;32852;0;1256;0.12340966921119594;0.039440203562340966;0.806615776081425;0.03299809160305345
17;v7q3wY11_8Y;720398;18403;0;2515;0.10312862108922363;0.0220162224797219;0.8528389339513326;0.03139351100811125
18;iwkPXjte7jQ;403611;12620;0;625;0.09821428571428571;0.030357142857142857;0.8553571428571428;0.02918803571428572
19;4Cu26vGQn9E;743460;23859;0;1476;0.0791268758526603;0.03956343792633015;0.8544793087767167;0.016939381537062297
20;xKiOa9krxgI;813191;32472;0;1696;0.10223642172523961;0.02875399361022364;0.8466453674121406;0.03165942492012779
21;VGIn9TOyS9I;533813;21759;0;934;0.10654936461388075;0.024437927663734114;0.8543499511241447;0.034739393939393945
22;VvAl6_dfAC8;616092;19967;0;1064;0.08939292861907938;0.02334889926617745;0.8639092728485657;0.026541494329553016
23;v7tfWAUG4XU;563776;24625;0;1544;0.08817635270541083;0.022044088176352707;0.8657314629258517;0.026698396793587174
24;co0lRVOSmzM;609102;18408;0;640;0.07489878542510121;0.02834008097165992;0.868421052631579;0.01811153846153846
25;H8P33IZNSVE;596987;24796;0;1395;0.12932501418037437;0.030629608621667612;0.8122518434486671;0.04222677254679511
26;0ByxNrtQNow;635075;23805;0;1193;0.09734513274336283;0.029271613342409804;0.8447923757658271;0.026381892443839323
27;5jJl0YzI1QA;407039;17934;0;623;0.009259259259259259;0.0015432098765432098;0.9787808641975309;0.0028961419753086425
28;XeNeeYbT8DQ;731971;19277;0;1164;0.09840954274353876;0.03578528827037773;0.8399602385685885;0.02675497017892645
29;_csBkS_ZFIU;750146;16337;0;1142;0.07453416149068323;0.040372670807453416;0.8726708074534162;0.011129503105590062
30;hgaotensSrI;121167;2114;0;128;0.10526315789473684;0.023593466424682397;0.8493647912885662;0.030237568058076234
31;koV2m5DcT-k;813536;30947;0;1863;0.11961301671064203;0.030782761653474055;0.8355321020228672;0.03592022867194367
32;J3Rd36QM0y0;566225;15184;0;1378;0.007620941020543406;0.0019880715705765406;0.9821073558648111;0.0016069913850231944
33;bQFHc4h0E7Y;539994;22297;0;718;0.09227871939736347;0.031073446327683617;0.8549905838041432;0.023486723163841813
34;WlK7o7l35Ag;657606;28545;0;1061;0.07947882736156352;0.036482084690553744;0.8618892508143322;0.01699967426710098
35;D38YGm0E2zM;567720;29669;0;1085;0.1252371916508539;0.03700189753320683;0.8263757115749526;0.03490303605313084
36;i848DYgfmcE;646942;30428;0;1336;0.11974110032362459;0.0372168284789644;0.7928802588996764;0.03246278317152104
37;1voq6P21qps;521037;27122;0;1252;0.09060626249167222;0.04530313124583611;0.8474350433044637;0.020969820119920064
38;PBDjZPpT6j8;666516;20131;0;1331;0.0892337536372454;0.025703200775945685;0.871968962172648;0.02529005819592624
39;tTm9pSc-BW8;449335;14818;0;728;0.09271523178807947;0.016556291390728478;0.8807947019867549;0.03064966887417219
40;hbNkjgewmnQ;698394;30489;0;1239;0.10780834072759539;0.046583850931677016;0.8234250221827861;0.026435980479148094
41;2CY-S1Z_I38;862553;32726;0;1711;0.012783505154639175;0.002061855670103093;0.979381443298969;0.004069319587628865
42;NX9ZJhsema0;709015;25895;0;872;0.011529933481152993;0.0026607538802660754;0.9818181818181818;0.003231618625277163
43;-Xcu9TKpLtg;628516;20743;0;916;0.10053619302949061;0.03351206434316354;0.8440571939231457;0.026568900804289513
44;4CgnHGRUOMc;1558003;45875;0;2489;0.13729508196721313;0.028688524590163935;0.805327868852459;0.045261270491803285
45;yTtNmxsk6oc;735044;17096;0;757;0.10443864229765012;0.018276762402088774;0.8596605744125326;0.03606795039164485
46;g5jwvaXu6rk;879624;27968;0;1955;0.09543230016313213;0.037520391517128875;0.8401305057096248;0.021330424143556286
47;Fo792SD32U0;475560;21360;0;593;0.08629130966952264;0.037943696450428395;0.8580171358629131;0.019975030599755215
48;7D0KNuoXaPM;604894;16947;0;817;0.08020698576972833;0.056921086675291076;0.8434670116429496;0.010100776196636485
49;OY3OYwB10KY;543546;15929;0;2284;0.10316040548598689;0.03875968992248062;0.8294573643410853;0.024882349433512193
50;ck0jenODs8c;548445;22961;0;696;0.09615384615384616;0.031017369727047148;0.8504962779156328;0.026073573200992555
51;ilqdVA56XKM;634152;29714;0;1209;0.09727947238252267;0.038746908491343775;0.8375927452596867;0.024681863149216818
52;IFeAn0w57EM;729883;38442;0;3485;0.1049645390070922;0.02269503546099291;0.8553191489361702;0.03487744680851066
53;kd_1_4R4Nvk;431382;13650;0;1051;0.08937960042060988;0.03785488958990536;0.8580441640378549;0.02150872765509989
54;5sXe75GwY8o;1129517;42894;0;2104;0.008852459016393442;0.002622950819672131;0.9839344262295082;0.0020864918032786886
55;9LwhxEulBGU;608748;25302;0;1388;0.09361702127659574;0.03234042553191489;0.8493617021276596;0.027028595744680868
56;RbAwJCCi-Mg;1515521;18954;0;973;0.11842105263157894;0.041353383458646614;0.8261278195488722;0.033878477443609
57;73ariBoV27E;823002;24792;0;2219;0.07976794778825236;0.03625815808556925;0.8752719361856418;0.01754133430021755
58;xJhiNrOiPkk;518103;14408;0;954;0.05941704035874439;0.034753363228699555;0.8878923766816144;0.011793609865470853
59;IQ-gGY1Ur7M;752025;35211;0;1966;0.09043927648578812;0.03229974160206718;0.8443152454780362;0.024695219638242904
60;HBZ8QHoSbIs;478071;21449;0;1563;0.11768255884127941;0.03138201569100785;0.8261919130959565;0.03251406155703074
61;R4MY98KLJsI;685683;27790;0;1290;0.10042735042735043;0.03561253561253561;0.8511396011396012;0.027679059829059837
62;XNNFnfq3jAU;1291008;31554;0;980;0.07444444444444444;0.05;0.8633333333333333;0.011077888888888894
63;r7HNJ5O2wdQ;810193;31036;0;2649;0.10177595628415301;0.03961748633879782;0.8360655737704918;0.02677185792349726
64;9G2uraTEfk4;770615;35396;0;2587;0.08249672632038411;0.01789611523352248;0.8489742470536883;0.0280289393278044
65;iSbkZt5bLXU;522718;16521;0;736;0.09923664122137404;0.04007633587786259;0.8492366412213741;0.023997709923664116
66;lYebizIuhlU;738737;27097;0;2518;0.08802650260293422;0.03454803596781827;0.8627543776620918;0.01922120208234736
